Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Baseline,Edge Chromium 147.0.3912.72,Baseline suite for Pulse Clinic web. Expected result before fault injection: 100% PASS.,,26-04-2026 02:22:12,26-04-2026 02:27:31,5m - 19.354s,PASSED
,,,,,,,
Test Cases/Authentication/TC-001-Open-HMS-role-selection,Edge Chromium 147.0.3912.72,Open HMS role selection page.,baseline,26-04-2026 02:22:12,26-04-2026 02:22:18,5.973s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:13,26-04-2026 02:22:18,5.418s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:18,26-04-2026 02:22:18,0.257s,PASSED
,,,,,,,
Test Cases/Authentication/TC-002-Open-staff-login,Edge Chromium 147.0.3912.72,Open staff login from HMS role selection.,baseline,26-04-2026 02:22:18,26-04-2026 02:22:24,5.973s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:18,26-04-2026 02:22:24,5.643s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:24,26-04-2026 02:22:24,0.265s,PASSED
,,,,,,,
Test Cases/Authentication/TC-003-Staff-login-required-fields,Edge Chromium 147.0.3912.72,Verify staff login required field controls.,baseline,26-04-2026 02:22:24,26-04-2026 02:22:27,3.279s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:24,26-04-2026 02:22:27,2.943s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:27,26-04-2026 02:22:27,0.249s,PASSED
,,,,,,,
Test Cases/Authentication/TC-004-Staff-login-invalid-credentials,Edge Chromium 147.0.3912.72,Verify invalid staff login shows an error.,baseline,26-04-2026 02:22:27,26-04-2026 02:22:33,5.792s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:28,26-04-2026 02:22:33,5.466s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:33,26-04-2026 02:22:33,0.259s,PASSED
,,,,,,,
Test Cases/Authentication/TC-005-Staff-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify staff can log in and reach dashboard.,baseline,26-04-2026 02:22:33,26-04-2026 02:22:39,5.899s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:33,26-04-2026 02:22:39,5.601s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:39,26-04-2026 02:22:39,0.252s,PASSED
,,,,,,,
Test Cases/Authentication/TC-006-Doctor-login-success-schedule,Edge Chromium 147.0.3912.72,Verify doctor can log in and reach schedule.,baseline,26-04-2026 02:22:39,26-04-2026 02:22:45,6.048s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:39,26-04-2026 02:22:45,5.779s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:22:45,26-04-2026 02:22:45,0.224s,PASSED
