Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Baseline,Edge Chromium 147.0.3912.72,Baseline suite for Pulse Clinic web. Expected result before fault injection: 100% PASS.,,26-04-2026 00:46:58,26-04-2026 00:52:11,5m - 12.890s,FAILED
,,,,,,,
Test Cases/Authentication/TC-001-Open-HMS-role-selection,Edge Chromium 147.0.3912.72,Open HMS role selection page.,baseline,26-04-2026 00:46:59,26-04-2026 00:47:05,5.945s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:46:59,26-04-2026 00:47:04,5.292s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:04,26-04-2026 00:47:05,0.303s,PASSED
,,,,,,,
Test Cases/Authentication/TC-002-Open-staff-login,Edge Chromium 147.0.3912.72,Open staff login from HMS role selection.,baseline,26-04-2026 00:47:05,26-04-2026 00:47:09,3.894s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:05,26-04-2026 00:47:08,3.552s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:08,26-04-2026 00:47:09,0.279s,PASSED
,,,,,,,
Test Cases/Authentication/TC-003-Staff-login-required-fields,Edge Chromium 147.0.3912.72,Verify staff login required field controls.,baseline,26-04-2026 00:47:09,26-04-2026 00:47:12,3.374s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:09,26-04-2026 00:47:12,3.049s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:12,26-04-2026 00:47:12,0.257s,PASSED
,,,,,,,
Test Cases/Authentication/TC-004-Staff-login-invalid-credentials,Edge Chromium 147.0.3912.72,Verify invalid staff login shows an error.,baseline,26-04-2026 00:47:12,26-04-2026 00:47:17,5.489s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:12,26-04-2026 00:47:17,5.159s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:17,26-04-2026 00:47:17,0.260s,PASSED
,,,,,,,
Test Cases/Authentication/TC-005-Staff-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify staff can log in and reach dashboard.,baseline,26-04-2026 00:47:17,26-04-2026 00:47:23,5.663s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:17,26-04-2026 00:47:23,5.331s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:23,26-04-2026 00:47:23,0.284s,PASSED
,,,,,,,
Test Cases/Authentication/TC-006-Doctor-login-success-schedule,Edge Chromium 147.0.3912.72,Verify doctor can log in and reach schedule.,baseline,26-04-2026 00:47:23,26-04-2026 00:47:29,5.642s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:23,26-04-2026 00:47:28,5.335s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:28,26-04-2026 00:47:29,0.270s,PASSED
,,,,,,,
Test Cases/Authentication/TC-007-Patient-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify patient can log in and reach dashboard.,baseline,26-04-2026 00:47:29,26-04-2026 00:47:34,5.677s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:29,26-04-2026 00:47:34,5.366s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:34,26-04-2026 00:47:34,0.270s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-008-Patient-profile-table,Edge Chromium 147.0.3912.72,Open patient profile table.,baseline,26-04-2026 00:47:34,26-04-2026 00:47:41,7.029s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:34,26-04-2026 00:47:41,6.768s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:47:41,26-04-2026 00:47:41,0.223s,PASSED
,,,,,,,
