Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:09:13,26-04-2026 02:09:13,0.249s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-015-Room-search,Edge Chromium 147.0.3912.72,Search room by seeded room number.,baseline,26-04-2026 02:09:13,26-04-2026 02:09:41,28.521s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:09:13,26-04-2026 02:09:41,28.255s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:09:41,26-04-2026 02:09:41,0.229s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-016-Room-filter-status,Edge Chromium 147.0.3912.72,Filter rooms by available status.,baseline,26-04-2026 02:09:41,26-04-2026 02:09:51,9.248s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:09:42,26-04-2026 02:09:50,8.950s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:09:50,26-04-2026 02:09:51,0.244s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-017-Waitlist-priority-order,Edge Chromium 147.0.3912.72,Open waitlist and validate priority order when data exists.,baseline,26-04-2026 02:09:51,26-04-2026 02:09:58,7.155s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:09:51,26-04-2026 02:09:58,6.862s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:09:58,26-04-2026 02:09:58,0.241s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-018-Waitlist-filter-priority,Edge Chromium 147.0.3912.72,Filter waitlist by priority.,baseline,26-04-2026 02:09:58,26-04-2026 02:10:07,9.502s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:09:58,26-04-2026 02:10:07,9.162s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:07,26-04-2026 02:10:07,0.286s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-019-Appointment-status-tabs,Edge Chromium 147.0.3912.72,Open appointment page and switch status tabs.,baseline,26-04-2026 02:10:07,26-04-2026 02:10:15,7.830s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:07,26-04-2026 02:10:15,7.493s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:15,26-04-2026 02:10:15,0.290s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-020-Invoice-patient-search,Edge Chromium 147.0.3912.72,Search patient on invoice page.,baseline,26-04-2026 02:10:15,26-04-2026 02:10:24,8.576s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:15,26-04-2026 02:10:24,8.256s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:24,26-04-2026 02:10:24,0.260s,PASSED
,,,,,,,
Test Cases/Authentication/TC-021-Staff-login-empty-email,Edge Chromium 147.0.3912.72,Staff login with empty email field - browser HTML5 required validation should prevent form submission.,baseline,26-04-2026 02:10:24,26-04-2026 02:10:27,3.591s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:24,26-04-2026 02:10:27,3.279s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:27,26-04-2026 02:10:27,0.269s,PASSED
,,,,,,,
Test Cases/Authentication/TC-022-Staff-login-invalid-email-format,Edge Chromium 147.0.3912.72,Staff login with invalid email format (no @) - browser HTML5 email validation should prevent form submission.,baseline,26-04-2026 02:10:27,26-04-2026 02:10:32,4.714s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:27,26-04-2026 02:10:32,4.439s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:32,26-04-2026 02:10:32,0.226s,PASSED
,,,,,,,
Test Cases/Authentication/TC-023-Doctor-login-wrong-credentials,Edge Chromium 147.0.3912.72,Doctor login with wrong credentials - error message must appear.,baseline,26-04-2026 02:10:32,26-04-2026 02:10:37,5.166s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:32,26-04-2026 02:10:37,4.872s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:37,26-04-2026 02:10:37,0.242s,PASSED
,,,,,,,
Test Cases/Authentication/TC-024-Patient-login-wrong-credentials,Edge Chromium 147.0.3912.72,Patient login with wrong credentials - error message must appear.,baseline,26-04-2026 02:10:37,26-04-2026 02:10:44,6.358s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:37,26-04-2026 02:10:43,6.080s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:43,26-04-2026 02:10:44,0.228s,PASSED
,,,,,,,
Test Cases/Authentication/TC-025-Staff-logout,Edge Chromium 147.0.3912.72,"Staff logout - after login, clicking logout must redirect to /login and clear session.",baseline,26-04-2026 02:10:44,26-04-2026 02:11:00,16.439s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:10:44,26-04-2026 02:11:00,16.129s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:00,26-04-2026 02:11:00,0.253s,PASSED
,,,,,,,
Test Cases/Authentication/TC-026-Staff-protected-redirect,Edge Chromium 147.0.3912.72,Staff protected pages redirect to /login when user is not authenticated.,baseline,26-04-2026 02:11:00,26-04-2026 02:11:02,2.046s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:00,26-04-2026 02:11:02,1.783s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:02,26-04-2026 02:11:02,0.210s,PASSED
,,,,,,,
Test Cases/Authentication/TC-027-Doctor-protected-redirect,Edge Chromium 147.0.3912.72,Doctor protected pages redirect to /login when user is not authenticated.,baseline,26-04-2026 02:11:02,26-04-2026 02:11:05,2.716s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:02,26-04-2026 02:11:05,2.513s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:05,26-04-2026 02:11:05,0.151s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-028-Patient-search-no-results,Edge Chromium 147.0.3912.72,Patient search with a term that matches nothing - table must show empty state gracefully.,baseline,26-04-2026 02:11:05,26-04-2026 02:11:14,9.558s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:05,26-04-2026 02:11:14,9.255s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:14,26-04-2026 02:11:14,0.251s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-029-Drug-search-no-results,Edge Chromium 147.0.3912.72,Drug catalog search with a term that matches nothing - table must show empty state gracefully.,baseline,26-04-2026 02:11:14,26-04-2026 02:11:44,29.263s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:11:14,26-04-2026 02:11:43,28.969s,PASSED
