Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Baseline,,Baseline suite for Pulse Clinic web. Expected result before fault injection: 100% PASS.,,26-04-2026 00:11:40,26-04-2026 00:12:03,23.471s,FAILED
,,,,,,,
Test Cases/Authentication/TC-001-Open-HMS-role-selection,,Open HMS role selection page.,baseline,26-04-2026 00:11:40,26-04-2026 00:11:43,3.242s,FAILED
try,,,,26-04-2026 00:11:40,26-04-2026 00:11:43,2.852s,FAILED
Finally,,,,26-04-2026 00:11:43,26-04-2026 00:11:43,0.042s,PASSED
,,,,,,,
Test Cases/Authentication/TC-002-Open-staff-login,,Open staff login from HMS role selection.,baseline,26-04-2026 00:11:43,26-04-2026 00:11:44,1.053s,FAILED
try,,,,26-04-2026 00:11:43,26-04-2026 00:11:44,0.954s,FAILED
Finally,,,,26-04-2026 00:11:44,26-04-2026 00:11:44,0.008s,PASSED
,,,,,,,
Test Cases/Authentication/TC-003-Staff-login-required-fields,,Verify staff login required field controls.,baseline,26-04-2026 00:11:44,26-04-2026 00:11:45,1.037s,FAILED
try,,,,26-04-2026 00:11:44,26-04-2026 00:11:45,0.908s,FAILED
Finally,,,,26-04-2026 00:11:45,26-04-2026 00:11:45,0.007s,PASSED
,,,,,,,
Test Cases/Authentication/TC-004-Staff-login-invalid-credentials,,Verify invalid staff login shows an error.,baseline,26-04-2026 00:11:45,26-04-2026 00:11:46,0.905s,FAILED
try,,,,26-04-2026 00:11:45,26-04-2026 00:11:46,0.804s,FAILED
Finally,,,,26-04-2026 00:11:46,26-04-2026 00:11:46,0.007s,PASSED
,,,,,,,
Test Cases/Authentication/TC-005-Staff-login-success-dashboard,,Verify staff can log in and reach dashboard.,baseline,26-04-2026 00:11:46,26-04-2026 00:11:47,0.852s,FAILED
try,,,,26-04-2026 00:11:46,26-04-2026 00:11:47,0.813s,FAILED
Finally,,,,26-04-2026 00:11:47,26-04-2026 00:11:47,0.006s,PASSED
,,,,,,,
