Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Baseline,Edge Chromium 147.0.3912.72,Baseline suite for Pulse Clinic web. Expected result before fault injection: 100% PASS.,,26-04-2026 00:55:07,26-04-2026 01:00:03,4m - 56.027s,PASSED
,,,,,,,
Test Cases/Authentication/TC-001-Open-HMS-role-selection,Edge Chromium 147.0.3912.72,Open HMS role selection page.,baseline,26-04-2026 00:55:07,26-04-2026 00:55:13,5.911s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:08,26-04-2026 00:55:13,5.153s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:13,26-04-2026 00:55:13,0.365s,PASSED
,,,,,,,
Test Cases/Authentication/TC-002-Open-staff-login,Edge Chromium 147.0.3912.72,Open staff login from HMS role selection.,baseline,26-04-2026 00:55:13,26-04-2026 00:55:17,3.872s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:13,26-04-2026 00:55:17,3.510s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:17,26-04-2026 00:55:17,0.259s,PASSED
,,,,,,,
Test Cases/Authentication/TC-003-Staff-login-required-fields,Edge Chromium 147.0.3912.72,Verify staff login required field controls.,baseline,26-04-2026 00:55:17,26-04-2026 00:55:20,3.235s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:17,26-04-2026 00:55:20,2.918s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:20,26-04-2026 00:55:20,0.256s,PASSED
,,,,,,,
Test Cases/Authentication/TC-004-Staff-login-invalid-credentials,Edge Chromium 147.0.3912.72,Verify invalid staff login shows an error.,baseline,26-04-2026 00:55:20,26-04-2026 00:55:26,5.406s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:20,26-04-2026 00:55:25,5.088s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:25,26-04-2026 00:55:26,0.261s,PASSED
,,,,,,,
Test Cases/Authentication/TC-005-Staff-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify staff can log in and reach dashboard.,baseline,26-04-2026 00:55:26,26-04-2026 00:55:31,5.728s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:26,26-04-2026 00:55:31,5.434s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:31,26-04-2026 00:55:31,0.252s,PASSED
,,,,,,,
Test Cases/Authentication/TC-006-Doctor-login-success-schedule,Edge Chromium 147.0.3912.72,Verify doctor can log in and reach schedule.,baseline,26-04-2026 00:55:31,26-04-2026 00:55:37,5.770s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:31,26-04-2026 00:55:37,5.477s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:37,26-04-2026 00:55:37,0.254s,PASSED
,,,,,,,
Test Cases/Authentication/TC-007-Patient-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify patient can log in and reach dashboard.,baseline,26-04-2026 00:55:37,26-04-2026 00:55:43,5.781s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:37,26-04-2026 00:55:43,5.483s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:43,26-04-2026 00:55:43,0.258s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-008-Patient-profile-table,Edge Chromium 147.0.3912.72,Open patient profile table.,baseline,26-04-2026 00:55:43,26-04-2026 00:55:50,6.700s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:43,26-04-2026 00:55:49,6.413s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:49,26-04-2026 00:55:50,0.234s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-009-Patient-search,Edge Chromium 147.0.3912.72,Search patient by seeded name.,baseline,26-04-2026 00:55:50,26-04-2026 00:55:58,8.731s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:50,26-04-2026 00:55:58,8.392s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:58,26-04-2026 00:55:58,0.280s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-010-Patient-filter-gender,Edge Chromium 147.0.3912.72,Filter patients by gender.,baseline,26-04-2026 00:55:58,26-04-2026 00:56:07,8.831s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:55:58,26-04-2026 00:56:07,8.513s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:07,26-04-2026 00:56:07,0.262s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-011-Patient-filter-insurance,Edge Chromium 147.0.3912.72,Filter patients by insurance.,baseline,26-04-2026 00:56:07,26-04-2026 00:56:16,9.053s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:07,26-04-2026 00:56:16,8.738s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:16,26-04-2026 00:56:16,0.268s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-012-Drug-catalog-table,Edge Chromium 147.0.3912.72,Open drug catalog table.,baseline,26-04-2026 00:56:16,26-04-2026 00:56:23,6.968s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:16,26-04-2026 00:56:23,6.623s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:23,26-04-2026 00:56:23,0.272s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-013-Drug-search,Edge Chromium 147.0.3912.72,Search drug by seeded name.,baseline,26-04-2026 00:56:23,26-04-2026 00:56:32,8.454s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:23,26-04-2026 00:56:31,8.140s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:31,26-04-2026 00:56:32,0.260s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-014-Drug-filter-dosage-unit,Edge Chromium 147.0.3912.72,Filter drugs by dosage form and unit.,baseline,26-04-2026 00:56:32,26-04-2026 00:56:42,10.089s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:32,26-04-2026 00:56:42,9.767s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:42,26-04-2026 00:56:42,0.259s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-015-Room-search,Edge Chromium 147.0.3912.72,Search room by seeded room number.,baseline,26-04-2026 00:56:42,26-04-2026 00:56:50,8.530s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:42,26-04-2026 00:56:50,8.235s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:50,26-04-2026 00:56:50,0.238s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-016-Room-filter-status,Edge Chromium 147.0.3912.72,Filter rooms by available status.,baseline,26-04-2026 00:56:50,26-04-2026 00:57:00,9.355s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:50,26-04-2026 00:56:59,9.005s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:56:59,26-04-2026 00:57:00,0.289s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-017-Waitlist-priority-order,Edge Chromium 147.0.3912.72,Open waitlist and validate priority order when data exists.,baseline,26-04-2026 00:57:00,26-04-2026 00:57:06,6.737s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:00,26-04-2026 00:57:06,6.404s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:06,26-04-2026 00:57:06,0.273s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-018-Waitlist-filter-priority,Edge Chromium 147.0.3912.72,Filter waitlist by priority.,baseline,26-04-2026 00:57:06,26-04-2026 00:57:16,9.366s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:07,26-04-2026 00:57:16,9.067s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:16,26-04-2026 00:57:16,0.250s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-019-Appointment-status-tabs,Edge Chromium 147.0.3912.72,Open appointment page and switch status tabs.,baseline,26-04-2026 00:57:16,26-04-2026 00:57:23,7.470s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:16,26-04-2026 00:57:23,7.214s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:23,26-04-2026 00:57:23,0.205s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-020-Invoice-patient-search,Edge Chromium 147.0.3912.72,Search patient on invoice page.,baseline,26-04-2026 00:57:23,26-04-2026 00:57:33,9.330s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:23,26-04-2026 00:57:32,8.996s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:32,26-04-2026 00:57:33,0.300s,PASSED
,,,,,,,
Test Cases/Authentication/TC-021-Staff-login-empty-email,Edge Chromium 147.0.3912.72,Staff login with empty email field - browser HTML5 required validation should prevent form submission.,baseline,26-04-2026 00:57:33,26-04-2026 00:57:36,3.700s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:33,26-04-2026 00:57:36,3.359s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:36,26-04-2026 00:57:36,0.283s,PASSED
,,,,,,,
Test Cases/Authentication/TC-022-Staff-login-invalid-email-format,Edge Chromium 147.0.3912.72,Staff login with invalid email format (no @) - browser HTML5 email validation should prevent form submission.,baseline,26-04-2026 00:57:36,26-04-2026 00:57:41,4.597s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:36,26-04-2026 00:57:41,4.323s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:41,26-04-2026 00:57:41,0.227s,PASSED
,,,,,,,
Test Cases/Authentication/TC-023-Doctor-login-wrong-credentials,Edge Chromium 147.0.3912.72,Doctor login with wrong credentials - error message must appear.,baseline,26-04-2026 00:57:41,26-04-2026 00:57:46,4.839s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:41,26-04-2026 00:57:46,4.544s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:46,26-04-2026 00:57:46,0.242s,PASSED
,,,,,,,
Test Cases/Authentication/TC-024-Patient-login-wrong-credentials,Edge Chromium 147.0.3912.72,Patient login with wrong credentials - error message must appear.,baseline,26-04-2026 00:57:46,26-04-2026 00:57:51,5.224s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:46,26-04-2026 00:57:51,4.890s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:51,26-04-2026 00:57:51,0.255s,PASSED
,,,,,,,
Test Cases/Authentication/TC-025-Staff-logout,Edge Chromium 147.0.3912.72,"Staff logout - after login, clicking logout must redirect to /login and clear session.",baseline,26-04-2026 00:57:51,26-04-2026 00:57:59,7.571s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:51,26-04-2026 00:57:58,7.225s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:58,26-04-2026 00:57:59,0.304s,PASSED
,,,,,,,
Test Cases/Authentication/TC-026-Staff-protected-redirect,Edge Chromium 147.0.3912.72,Staff protected pages redirect to /login when user is not authenticated.,baseline,26-04-2026 00:57:59,26-04-2026 00:58:01,2.887s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:57:59,26-04-2026 00:58:01,2.651s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:01,26-04-2026 00:58:01,0.175s,PASSED
,,,,,,,
Test Cases/Authentication/TC-027-Doctor-protected-redirect,Edge Chromium 147.0.3912.72,Doctor protected pages redirect to /login when user is not authenticated.,baseline,26-04-2026 00:58:01,26-04-2026 00:58:04,2.703s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:02,26-04-2026 00:58:04,2.467s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:04,26-04-2026 00:58:04,0.183s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-028-Patient-search-no-results,Edge Chromium 147.0.3912.72,Patient search with a term that matches nothing - table must show empty state gracefully.,baseline,26-04-2026 00:58:04,26-04-2026 00:58:13,9.189s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:04,26-04-2026 00:58:13,8.911s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:13,26-04-2026 00:58:13,0.229s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-029-Drug-search-no-results,Edge Chromium 147.0.3912.72,Drug catalog search with a term that matches nothing - table must show empty state gracefully.,baseline,26-04-2026 00:58:13,26-04-2026 00:58:44,30.307s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:13,26-04-2026 00:58:43,29.675s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:43,26-04-2026 00:58:44,0.580s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-030-Invoice-search-no-results,Edge Chromium 147.0.3912.72,Invoice billing search with a term that matches nothing - table must show empty state gracefully.,baseline,26-04-2026 00:58:44,26-04-2026 00:58:55,11.023s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:44,26-04-2026 00:58:54,10.466s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:54,26-04-2026 00:58:55,0.272s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-031-Patient-filter-female,Edge Chromium 147.0.3912.72,Filter patient list by Female gender - complementary to TC-010 Male filter.,baseline,26-04-2026 00:58:55,26-04-2026 00:59:04,9.367s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:58:55,26-04-2026 00:59:04,9.042s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:59:04,26-04-2026 00:59:04,0.261s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-032-Patient-search-with-filter,Edge Chromium 147.0.3912.72,Patient search combined with active gender filter - both constraints must apply simultaneously.,baseline,26-04-2026 00:59:04,26-04-2026 00:59:15,10.881s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:59:04,26-04-2026 00:59:15,10.624s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:59:15,26-04-2026 00:59:15,0.204s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-033-Drug-filter-capsule,Edge Chromium 147.0.3912.72,Drug filter by CAPSULE dosage form - complementary to TC-014 TABLET filter.,baseline,26-04-2026 00:59:15,26-04-2026 00:59:24,9.013s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:59:15,26-04-2026 00:59:24,8.693s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:59:24,26-04-2026 00:59:24,0.275s,PASSED
,,,,,,,
