Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Baseline,Edge Chromium 147.0.3912.72,Baseline suite for Pulse Clinic web. Expected result before fault injection: 100% PASS.,,26-04-2026 00:16:11,26-04-2026 00:17:54,1m - 43.149s,FAILED
,,,,,,,
Test Cases/Authentication/TC-001-Open-HMS-role-selection,Edge Chromium 147.0.3912.72,Open HMS role selection page.,baseline,26-04-2026 00:16:11,26-04-2026 00:16:18,6.494s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:11,26-04-2026 00:16:17,5.815s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:17,26-04-2026 00:16:18,0.333s,PASSED
,,,,,,,
Test Cases/Authentication/TC-002-Open-staff-login,Edge Chromium 147.0.3912.72,Open staff login from HMS role selection.,baseline,26-04-2026 00:16:18,26-04-2026 00:16:22,4.072s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:18,26-04-2026 00:16:21,3.803s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:21,26-04-2026 00:16:22,0.205s,PASSED
,,,,,,,
Test Cases/Authentication/TC-003-Staff-login-required-fields,Edge Chromium 147.0.3912.72,Verify staff login required field controls.,baseline,26-04-2026 00:16:22,26-04-2026 00:16:25,3.230s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:22,26-04-2026 00:16:25,2.948s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:25,26-04-2026 00:16:25,0.235s,PASSED
,,,,,,,
Test Cases/Authentication/TC-004-Staff-login-invalid-credentials,Edge Chromium 147.0.3912.72,Verify invalid staff login shows an error.,baseline,26-04-2026 00:16:25,26-04-2026 00:16:33,7.974s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:25,26-04-2026 00:16:32,7.486s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:32,26-04-2026 00:16:33,0.424s,PASSED
,,,,,,,
Test Cases/Authentication/TC-005-Staff-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify staff can log in and reach dashboard.,baseline,26-04-2026 00:16:33,26-04-2026 00:16:38,5.662s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:33,26-04-2026 00:16:38,5.331s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:38,26-04-2026 00:16:38,0.280s,PASSED
,,,,,,,
Test Cases/Authentication/TC-006-Doctor-login-success-schedule,Edge Chromium 147.0.3912.72,Verify doctor can log in and reach schedule.,baseline,26-04-2026 00:16:38,26-04-2026 00:16:46,7.062s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:39,26-04-2026 00:16:45,6.820s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:45,26-04-2026 00:16:46,0.210s,PASSED
,,,,,,,
Test Cases/Authentication/TC-007-Patient-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify patient can log in and reach dashboard.,baseline,26-04-2026 00:16:46,26-04-2026 00:16:50,4.637s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:46,26-04-2026 00:16:50,4.372s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:50,26-04-2026 00:16:50,0.228s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-008-Patient-profile-table,Edge Chromium 147.0.3912.72,Open patient profile table.,baseline,26-04-2026 00:16:50,26-04-2026 00:16:55,4.384s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:50,26-04-2026 00:16:54,4.149s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:54,26-04-2026 00:16:55,0.206s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-009-Patient-search,Edge Chromium 147.0.3912.72,Search patient by seeded name.,baseline,26-04-2026 00:16:55,26-04-2026 00:16:59,4.341s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:55,26-04-2026 00:16:59,4.127s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:59,26-04-2026 00:16:59,0.179s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-010-Patient-filter-gender,Edge Chromium 147.0.3912.72,Filter patients by gender.,baseline,26-04-2026 00:16:59,26-04-2026 00:17:03,4.307s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:16:59,26-04-2026 00:17:03,4.066s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:03,26-04-2026 00:17:03,0.210s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-011-Patient-filter-insurance,Edge Chromium 147.0.3912.72,Filter patients by insurance.,baseline,26-04-2026 00:17:03,26-04-2026 00:17:08,4.378s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:03,26-04-2026 00:17:07,4.175s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:07,26-04-2026 00:17:08,0.171s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-012-Drug-catalog-table,Edge Chromium 147.0.3912.72,Open drug catalog table.,baseline,26-04-2026 00:17:08,26-04-2026 00:17:12,4.722s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:08,26-04-2026 00:17:12,4.440s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:12,26-04-2026 00:17:12,0.250s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-013-Drug-search,Edge Chromium 147.0.3912.72,Search drug by seeded name.,baseline,26-04-2026 00:17:12,26-04-2026 00:17:18,5.466s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:12,26-04-2026 00:17:17,5.031s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:17,26-04-2026 00:17:18,0.365s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-014-Drug-filter-dosage-unit,Edge Chromium 147.0.3912.72,Filter drugs by dosage form and unit.,baseline,26-04-2026 00:17:18,26-04-2026 00:17:23,4.902s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:18,26-04-2026 00:17:22,4.641s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:22,26-04-2026 00:17:23,0.216s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-015-Room-search,Edge Chromium 147.0.3912.72,Search room by seeded room number.,baseline,26-04-2026 00:17:23,26-04-2026 00:17:27,4.736s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:23,26-04-2026 00:17:27,4.443s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:27,26-04-2026 00:17:27,0.234s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-016-Room-filter-status,Edge Chromium 147.0.3912.72,Filter rooms by available status.,baseline,26-04-2026 00:17:27,26-04-2026 00:17:33,5.775s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:28,26-04-2026 00:17:32,4.916s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:32,26-04-2026 00:17:33,0.800s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-017-Waitlist-priority-order,Edge Chromium 147.0.3912.72,Open waitlist and validate priority order when data exists.,baseline,26-04-2026 00:17:33,26-04-2026 00:17:40,6.515s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:33,26-04-2026 00:17:39,5.983s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:39,26-04-2026 00:17:40,0.379s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-018-Waitlist-filter-priority,Edge Chromium 147.0.3912.72,Filter waitlist by priority.,baseline,26-04-2026 00:17:40,26-04-2026 00:17:45,4.937s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:40,26-04-2026 00:17:44,4.624s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:44,26-04-2026 00:17:45,0.244s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-019-Appointment-status-tabs,Edge Chromium 147.0.3912.72,Open appointment page and switch status tabs.,baseline,26-04-2026 00:17:45,26-04-2026 00:17:49,4.536s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:45,26-04-2026 00:17:49,4.250s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:49,26-04-2026 00:17:49,0.225s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-020-Invoice-patient-search,Edge Chromium 147.0.3912.72,Search patient on invoice page.,baseline,26-04-2026 00:17:49,26-04-2026 00:17:54,4.709s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:49,26-04-2026 00:17:54,4.420s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:17:54,26-04-2026 00:17:54,0.236s,PASSED
