Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Baseline,Edge Chromium 147.0.3912.72,Baseline suite for Pulse Clinic web. Expected result before fault injection: 100% PASS.,,26-04-2026 00:27:33,26-04-2026 00:30:11,2m - 38.336s,PASSED
,,,,,,,
Test Cases/Authentication/TC-001-Open-HMS-role-selection,Edge Chromium 147.0.3912.72,Open HMS role selection page.,baseline,26-04-2026 00:27:33,26-04-2026 00:27:38,5.649s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:33,26-04-2026 00:27:38,5.141s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:38,26-04-2026 00:27:38,0.250s,PASSED
,,,,,,,
Test Cases/Authentication/TC-002-Open-staff-login,Edge Chromium 147.0.3912.72,Open staff login from HMS role selection.,baseline,26-04-2026 00:27:38,26-04-2026 00:27:42,4.115s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:38,26-04-2026 00:27:42,3.767s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:42,26-04-2026 00:27:42,0.295s,PASSED
,,,,,,,
Test Cases/Authentication/TC-003-Staff-login-required-fields,Edge Chromium 147.0.3912.72,Verify staff login required field controls.,baseline,26-04-2026 00:27:42,26-04-2026 00:27:46,3.846s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:43,26-04-2026 00:27:46,3.491s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:46,26-04-2026 00:27:46,0.271s,PASSED
,,,,,,,
Test Cases/Authentication/TC-004-Staff-login-invalid-credentials,Edge Chromium 147.0.3912.72,Verify invalid staff login shows an error.,baseline,26-04-2026 00:27:46,26-04-2026 00:27:52,5.687s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:46,26-04-2026 00:27:52,5.252s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:52,26-04-2026 00:27:52,0.364s,PASSED
,,,,,,,
Test Cases/Authentication/TC-005-Staff-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify staff can log in and reach dashboard.,baseline,26-04-2026 00:27:52,26-04-2026 00:27:58,5.918s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:52,26-04-2026 00:27:58,5.615s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:58,26-04-2026 00:27:58,0.253s,PASSED
,,,,,,,
Test Cases/Authentication/TC-006-Doctor-login-success-schedule,Edge Chromium 147.0.3912.72,Verify doctor can log in and reach schedule.,baseline,26-04-2026 00:27:58,26-04-2026 00:28:08,9.786s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 00:27:58,26-04-2026 00:28:07,9.395s,PASSED
